"","STATION_KEY","SVN","SITE_NAME","DATE","FSS_26Aug14","sum_1095_days","PDISRSA_1YR","PALITHERODRCA","PASILTRCA","PACLAYRCA","DAPOPRCA2010","POWNRCA_PRI","PAOWNRCA_AGR","DAROADX","PASUSCEP5_DE","STRMPWR","XSLOPE_MAP","MIN_Z","LAT_RAW","TMDL_Target","Impaired"
"1","10588","08001BMP","Deer Creek at Mouth","2008-07-15",12,6115.74999650568,0,100,37.3295272325131,25.1106165330384,0.0124082431990841,10.8350586611456,0,0,1.3733675911019,19.7299483769424,3.0053234389859,170.084501953125,44.5346,NA,"No"
"2","11003","05007MIX","Three Rivers at Hebo Bridge","2005-08-23",10,7692.37968044307,18.7074829931973,83.6224456271208,53.9140814294407,24.8038796998027,0.0268716212200885,87.8807517822424,0.0891475371521936,0.0010928324856601,1.94059717677545,147.766995476371,0.556391441693386,14.8315679534912,45.22994,NA,"No"
"3","11850","07001OPR","Rock Creek at RM 1.5 (Alsea)","2007-07-19",3,6222.30839775518,4.62046204620462,0,49.7356192008127,24.3039056326899,0.000843452020999676,0.279850746268657,0,0,4.66054466148101,154.171431354081,4.82132255540174,149.94179825433,44.1877,NA,"No"
"4","11850","99018CSR","Rock Creek at RM 1.5 (Alsea)","1999-07-29",4,8179.34640771426,4.62046204620462,0,49.7356192008127,24.3039056326899,0.000843452020999676,0.279850746268657,0,0,4.66054466148101,154.171431354081,4.82132255540174,149.94179825433,44.1877,NA,"No"
"5","11853","99061CSR","Peak Creek at RM 3.5 (Alsea)","1999-09-21",8,7056.29704721362,0.900900900900901,74.8464949415273,38.9445835477048,24.4527410964386,0.000852645594741708,17.7179305457123,0,0.000532123403474404,0.712380206401358,12.5919654916528,0.462582766674728,272.107149023438,44.356,NA,"No"
"6","12095","07004OPR","EF Winchuck River U/S Wheeler Cr Rd.","2007-09-11",3,6993.1941142236,0,0,40.3925782086994,28.7592270194986,0,0,0,8.96509843052972e-05,5.54580521812056,88.6473471632849,1.15357139165714,74,42.04863,NA,"No"
"7","12134","07005OPR","Harvey Creek at RM 0.5","2007-08-16",22,6443.11216596247,51.3227513227513,99.8146301646575,33.3732984293194,16.9781510900992,0.0060479554038009,54.6699875466999,0,0,12.5983115551758,2.34388144793166,0.0601072303611145,2.74951618423462,43.69153,NA,"No"
"8","12278","07007OPR","Fall Creek at RM 0.7 (Wilson)","2007-07-24",2,8572.49059843108,0,0.0954844184315679,43.4586121217499,19.0243056171799,0.0155606359743486,0,0,0,9.69692813924746,106.722795393113,2.72293706672228,126.659636279297,45.49425,NA,"No"
"9","12521","07009OPR","Trib to Bernhardt Creek at RM 3.0","2007-08-28",7,6127.1199977044,0,95.9646910466583,37.9527742749054,25.715447667087,0,2.39596469104666,0,0,0.315258511979824,34.252572237251,6.32666646421334,68,43.96319,NA,"No"
"10","13121","07001DFW","Hamilton Creek at River Mile 1.7","2007-08-22",8,10207.2237653313,20.7547169811321,91.4215662910349,60.5606008583691,23.8480591320935,0.000643918538386237,22.6104830421377,0,0.000648407687752467,0.068082807214009,251.010165301008,4.14666653397334,245,45.9711,NA,"No"
"11","13121","08064DFW","Hamilton Creek at River Mile 1.7","2008-08-25",3,10542.6125130488,20.7547169811321,91.4215662910349,60.5606008583691,23.8480591320935,0.000643918538386237,22.6104830421377,0,0.000648407687752467,0.068082807214009,251.010165301008,4.14666653397334,245,45.9711,NA,"No"
